time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444900000	10.3883	1.56667	5.51083	0.448441	0.685532	lidar	1.96828	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6128	1.71424	5.49704	0.601644	1.64934	radar	1.23511	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8555	1.64903	5.26263	0.419282	0.743546	lidar	4.197	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1425	1.65624	5.26124	0.218132	-0.660208	radar	2.2618	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4336	1.63656	5.25521	0.087186	-0.973725	lidar	1.43751	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6745	1.63641	5.23288	0.0104203	-1.11655	radar	0.563623	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8878	1.71544	5.19983	0.0911558	-0.516154	lidar	0.826941	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1467	1.86649	5.31879	0.336152	0.962542	radar	2.04949	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3813	1.83421	5.31608	0.188917	0.138004	lidar	0.498064	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6572	1.82329	5.45146	0.0482968	-0.657105	radar	1.2421	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8157	2.12051	5.37275	0.503586	1.37871	lidar	3.89548	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0908	2.17646	5.4663	0.258709	-0.818267	radar	2.92438	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2906	2.35144	5.44243	0.347554	-0.479073	lidar	2.76004	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4581	2.57551	5.35823	0.622893	1.26294	radar	8.85038	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7122	2.63435	5.35314	0.49032	0.295032	lidar	1.04415	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9411	2.73166	5.3583	0.428423	-0.22605	radar	0.195373	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1701	2.89701	5.41683	0.489368	0.0305176	lidar	0.271151	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4344	2.96194	5.43839	0.321317	-1.08196	radar	0.524164	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6522	2.97739	5.32411	0.189177	-1.45686	lidar	2.28114	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8817	3.15472	5.40173	0.352479	-0.304632	radar	3.92779	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.059	3.43417	5.40893	0.672859	1.23209	lidar	0.995282	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2785	3.59875	5.47275	0.640788	0.461543	radar	1.89877	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4912	3.7921	5.50683	0.687092	0.503534	lidar	0.157954	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7065	3.92058	5.46973	0.647485	0.180509	radar	1.27851	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9391	4.0379	5.43278	0.606096	0.0222534	lidar	0.23694	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1324	4.22044	5.41672	0.757562	1.27276	radar	0.866793	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3142	4.42511	5.44023	0.839217	1.33708	lidar	0.0444226	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5379	4.57227	5.43181	0.71848	0.105667	radar	0.808329	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.7185	4.72898	5.37321	0.717633	0.0774885	lidar	0.876639	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8697	4.94756	5.3341	0.967224	2.25881	radar	1.3776	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9969	5.19038	5.3594	1.10032	2.33173	lidar	0.0370363	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1834	5.34907	5.28127	0.9398	0.433718	radar	2.61185	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3366	5.51824	5.20222	0.94817	0.467213	lidar	0.566095	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4927	5.68949	5.14202	0.937627	0.279978	radar	3.26617	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6944	5.77726	4.96574	0.850364	-0.116131	lidar	2.42267	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8393	5.97622	4.96252	0.933922	0.681306	radar	0.303058	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.013	6.15539	4.95163	0.92642	0.508425	lidar	0.734671	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1686	6.35431	4.98346	0.893511	-0.0377271	radar	0.759959	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2853	6.60775	5.06597	0.951898	0.10447	lidar	0.596365	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4179	6.82339	5.0782	0.999623	0.432382	radar	0.16732	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5825	6.92159	4.89315	0.935556	0.228601	lidar	1.99483	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7393	7.1104	4.90874	0.887498	-0.2713	radar	0.236973	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9635	7.21721	4.81899	0.776786	-0.553058	lidar	2.19389	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0517	7.41833	4.7314	1.02828	1.70391	radar	4.32166	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0786	7.75576	4.90505	1.30915	2.49929	lidar	1.6689	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2294	7.92707	4.84561	1.08095	0.076348	radar	1.24815	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2988	8.15498	4.84059	1.09853	-0.0400714	lidar	1.57044	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3962	8.3592	4.82608	1.05775	-0.512215	radar	2.04872	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5041	8.49008	4.67235	0.995796	-0.692906	lidar	3.27399	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.6007	8.68646	4.63322	1.09934	0.558093	radar	0.734263	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7741	8.85119	4.59471	1.03086	0.156614	lidar	3.10385	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8488	9.07399	4.61599	1.16776	1.07788	radar	0.762548	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9646	9.3208	4.69632	1.20969	1.00366	lidar	3.00988	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0142	9.54653	4.7052	1.29558	1.1469	radar	1.13761	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.075	9.81027	4.77916	1.35909	1.11632	lidar	0.913288	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1279	10.0714	4.84541	1.26365	-0.511723	radar	7.53164	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1769	10.3608	4.96035	1.26393	-0.505827	lidar	0.826643	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1933	10.6023	4.93655	1.42714	1.18524	radar	2.60754	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2382	10.8827	5.01272	1.48252	1.14727	lidar	1.83366	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2634	11.1481	5.05316	1.42489	-0.0650204	radar	4.88555	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3085	11.3797	5.01838	1.41556	-0.0567791	lidar	0.073212	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2614	11.6341	5.01237	1.6461	2.04025	radar	7.55045	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3172	11.8588	4.94748	1.68574	1.83908	lidar	5.3033	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3374	12.094	4.89806	1.48098	-1.05068	radar	3.40144	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
